last_name, first_name,player_id,year,woba,xwobacon,
Witt Jr., Bobby,677951,2023,.297,.433,
India, Jonathan,663697,2023,.344,.382,
Guerrero Jr., Vladimir,665489,2023,.347,.440,
France, Ty,664034,2023,.346,.370,
Stott, Bryson,681082,2023,.324,.328,
Springer III, George,543807,2023,.322,.377,
Hoerner, Nico,663538,2023,.315,.339,
Torres, Gleyber,650402,2023,.331,.365,
Verdugo, Alex,657077,2023,.349,.375,
Bregman, Alex,608324,2023,.323,.333,
McNeil, Jeff,643446,2023,.317,.302,
Albies, Ozzie,645277,2023,.328,.367,
Ruiz, Esteury,665923,2023,.294,.295,
Freeman, Freddie,518692,2023,.418,.493,
Ramirez, Jose,608070,2023,.349,.371,
Franco, Wander,677551,2023,.361,.376,
Arraez, Luis,650333,2023,.397,.350,
Kwan, Steven,680757,2023,.309,.317,
Acuna Jr., Ronald,660670,2023,.409,.499,
Semien, Marcus,543760,2023,.356,.357,
Bichette, Bo,666182,2023,.369,.447,
