Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary,Name-additional
100,Trey Mancini,30,TOT,587,412,66,4.3,92,0.286,0.239,0.244,0.319,0.311,0.391,0.395,0.71,0.706,101,0.504,1.6,0.2,0.654,0.254,0.152,0,D379/H,mancitr01
101,Willy Adames,26,MIL,617,447,76,4.5,91,0.278,0.238,0.241,0.298,0.311,0.458,0.394,0.756,0.706,112,0.519,7.9,0.8,0.713,0.316,0.22,12.7,*6/DH,adamewi01
102,Javier Báez,29,DET,590,441,59,3.6,87,0.292,0.238,0.238,0.278,0.304,0.393,0.385,0.671,0.689,93,0.423,-6,-0.6,0.591,0.214,0.155,11.8,*6D/H,baezja01
103,Adam Frazier*,30,SEA,602,443,51,3.1,86,0.268,0.238,0.237,0.301,0.303,0.311,0.383,0.612,0.686,80,0.357,-12.4,-1.3,0.531,0.166,0.072,4.7,*497H/D68,fraziad01
104,Andrew McCutchen,35,MIL,580,413,63,4.1,91,0.278,0.237,0.241,0.316,0.311,0.384,0.394,0.7,0.706,99,0.468,0,0,0.653,0.262,0.148,10.9,D79/8H,mccutan01
105,Eugenio Suárez,30,SEA,629,432,85,5.2,86,0.302,0.236,0.237,0.332,0.303,0.459,0.383,0.791,0.686,129,0.598,22.1,2.3,0.773,0.357,0.223,0,*5D/H,suareeu01
106,Tommy Pham,34,TOT,622,451,64,3.8,99,0.304,0.236,0.252,0.312,0.323,0.374,0.411,0.686,0.735,87,0.441,-9.7,-1,0.623,0.247,0.137,10.9,*7D/H,phamth01
107,Miguel Rojas,33,MIA,507,379,42,2.9,92,0.258,0.236,0.242,0.283,0.313,0.323,0.396,0.605,0.709,72,0.329,-18.1,-1.9,0.515,0.155,0.087,7.2,*63/H,rojasmi02
108,Daulton Varsho*,25,ARI,592,427,72,4.5,91,0.269,0.235,0.241,0.302,0.311,0.443,0.394,0.745,0.706,109,0.515,5.6,0.6,0.724,0.313,0.207,20.1,*982D/H,varshda01
109,Tony Kemp*,30,OAK,558,394,56,3.8,87,0.259,0.235,0.238,0.307,0.304,0.334,0.385,0.641,0.689,88,0.45,-6.7,-0.7,0.596,0.209,0.099,8.6,47H/D,kempto01
110,Jesús Aguilar,32,TOT,507,368,50,3.6,92,0.278,0.235,0.242,0.281,0.312,0.379,0.396,0.661,0.709,86,0.418,-9.5,-1,0.576,0.207,0.144,1.9,3DH/5,aguilje01
111,Nelson Cruz,41,WSN,507,362,47,3.5,88,0.295,0.234,0.236,0.313,0.306,0.337,0.387,0.651,0.693,90,0.397,-5,-0.5,0.579,0.221,0.103,5.7,*D/H,cruzne02
112,Seth Brown*,29,OAK,555,395,70,4.7,87,0.273,0.23,0.238,0.305,0.304,0.444,0.385,0.749,0.689,116,0.551,9.5,1,0.728,0.334,0.214,15.3,3798H/D,brownse01
113,Matt Chapman,29,TOR,621,429,79,4.9,90,0.277,0.229,0.243,0.324,0.309,0.433,0.392,0.757,0.701,115,0.568,11.9,1.2,0.738,0.331,0.204,3.7,*5/HD,chapmma01
114,Wilmer Flores,30,SFG,602,419,69,4.4,93,0.246,0.229,0.243,0.316,0.314,0.394,0.398,0.71,0.712,100,0.503,1.1,0.1,0.672,0.278,0.166,0,435DH,florewi01
115,Luke Voit,31,TOT,568,403,64,4.2,87,0.298,0.226,0.235,0.308,0.304,0.402,0.385,0.71,0.689,106,0.487,5,0.5,0.665,0.286,0.176,1.9,D3/H,voitlu01
116,Marcell Ozuna,31,ATL,507,381,51,3.6,95,0.252,0.226,0.245,0.274,0.316,0.413,0.402,0.687,0.718,89,0.41,-8.2,-0.8,0.607,0.255,0.187,3.7,D7,ozunama01
117,Anthony Rizzo*,32,NYY,548,381,75,5.2,91,0.216,0.224,0.244,0.338,0.311,0.48,0.394,0.817,0.704,131,0.598,19.7,2,0.818,0.383,0.256,10.1,*3/DH,rizzoan01
118,Josh Donaldson,36,NYY,546,393,56,3.8,91,0.283,0.222,0.244,0.308,0.311,0.374,0.394,0.682,0.704,94,0.451,-2.2,-0.2,0.628,0.266,0.153,3.5,5D/H,donaljo02
119,Jorge Mateo,27,BAL,533,407,50,3.3,92,0.286,0.221,0.245,0.267,0.312,0.379,0.395,0.646,0.707,81,0.385,-13.8,-1.4,0.632,0.265,0.158,19,*6/H,mateojo01
120,Myles Straw,27,CLE,596,428,49,3.1,89,0.261,0.221,0.24,0.291,0.307,0.273,0.388,0.564,0.695,65,0.356,-23.1,-2.4,0.526,0.191,0.052,0,*8/H,strawmy01
121,Rowdy Tellez*,27,MIL,599,437,71,4.3,91,0.215,0.219,0.241,0.306,0.311,0.461,0.394,0.767,0.706,115,0.498,9.9,1,0.721,0.361,0.242,3.8,*3H/D,tellero01
122,Jesse Winker*,28,SEA,547,367,60,4.4,86,0.251,0.219,0.237,0.344,0.303,0.344,0.383,0.688,0.686,103,0.514,5.8,0.6,0.673,0.309,0.125,0,*7D/H,winkeje01
123,Kyle Schwarber*,29,PHI,669,464,98,5.6,93,0.24,0.218,0.243,0.323,0.314,0.504,0.398,0.827,0.712,130,0.615,21.9,2.2,0.846,0.451,0.286,16.4,*7D/H,schwaky01
124,MJ Melendez*,23,KCR,534,372,62,4.4,93,0.258,0.217,0.246,0.313,0.313,0.393,0.397,0.706,0.71,99,0.523,0.4,0,0.685,0.317,0.176,3.6,2D79/H,melenmj01
125,Mike Yastrzemski*,31,SFG,558,392,63,4.3,93,0.261,0.214,0.243,0.305,0.314,0.392,0.398,0.697,0.712,96,0.493,-1.6,-0.2,0.678,0.311,0.177,7.7,*98H/D,yastrmi01
126,Cody Bellinger*,26,LAD,550,414,54,3.5,98,0.255,0.21,0.249,0.265,0.321,0.389,0.408,0.654,0.73,78,0.398,-16.4,-1.7,0.613,0.276,0.179,16.1,*8/H,bellico01
127,Patrick Wisdom,30,CHC,534,387,61,4.2,93,0.274,0.207,0.243,0.298,0.314,0.426,0.398,0.725,0.712,102,0.484,1.4,0.1,0.703,0.341,0.22,12.1,53/97HD8,wisdopa01
128,Carlos Santana#,36,TOT,506,355,54,4.1,89,0.209,0.202,0.241,0.316,0.307,0.376,0.389,0.692,0.696,100,0.481,1.4,0.1,0.666,0.339,0.174,0,3D/H9,santaca01
129,Jonathan Schoop,30,DET,510,403,35,2.3,87,0.234,0.202,0.238,0.239,0.304,0.322,0.385,0.561,0.689,62,0.249,-23.8,-2.5,0.464,0.17,0.121,6.9,*4/3HD,schoojo01
130,Max Muncy*,31,LAD,565,381,67,4.7,98,0.227,0.196,0.249,0.329,0.321,0.384,0.408,0.713,0.73,96,0.534,0.1,0,0.733,0.386,0.188,3.7,54D/H3,muncyma01
131,Trent Grisham*,25,SDP,524,381,49,3.4,86,0.231,0.184,0.234,0.284,0.303,0.341,0.383,0.626,0.687,83,0.393,-9.1,-0.9,0.605,0.297,0.157,9.9,*8H,grishtr01
